Site,Sample Station (SS) - LOCATION DESCRIPTION,X - Coordinate,Y - Coordinate
24950,"SS - IFO 1169 N/S East New York Ave, 2nd SS W/O Ralph Ave, 12""",1005399,182198
25050,"SS - W/S Pennsylvania Ave, 1st SS N/O Hegeman Ave, IFO 718 Penn. Ave, 20""",1014257,179774
25100,"SS - IFO 630 W/S Howard Ave, BTW Sutter & East New York Aves, 60""",1006510,182108
25150,"SS - E/O Mother Gaston Blvd, 2nd SS N/O Livonia Ave, 12""",1010559,181082
25250,"SS - S/S Foster Ave, 2nd SS E/O E 101st St, 20""",1011381,176277
25350,"SS - W/S Remsen Ave, 1st SS N/O Ave M, 20""",1012292,170203
25400,"SS - S/S Pacific St, BTW Franklin & Classon Aves, 48""",996612,186417
25450,"SS - IFO 1030 S/S Park Pl, 2nd SS E/O Brooklyn Ave, 12""",999921,184474
25550,"SS - E/S Bedford Ave, 2nd SS S/O Montgomery St, 20""",996201,181648
25900,"SS - S/S Kings Highway, BTW E 35th & E 36th Sts, 60""",1000853,165505
25950,"SS - E/S Flatbush Ave, 2nd SS N/O Ave R, IFO 2185 Flatbush Ave, 16""",1003601,164002
26300,"SS - W/S Vermont St, BTW Jamaica & Sunnyside Aves, 48""",1013103,186926
26500,"SS - IFO 336 W/S 6th Ave, BTW 3rd and 4th St, 66""",989404,183806
26550,"SS - E/S 4th Ave, 1st SS S/O Sackett St, 20""",989092,186247
26700,"SS - IFO 426 S/S Sterling Pl, BTW Underhill & Washington Aves, 72""",994175,185107
26750,"SS - IFO 1110 N/S President St, 2nd SS E/O Bedford Ave, 12""",997012,182764
26850,"SS - W/S W 37th St, 2nd SS n/O Neptune Ave, 12""",983249,150034
26950,"SS - IFO 1058 N/S Metropolitan Ave, 2nd SS W/O Vandervoort Ave, 20""",1002385,199590
27000,"SS - IFO 383 W/S Hooper St, BTW S 1st & S 2nd Sts, 72""",996850,197261
27350,"SS - OPP 1035 S/S Clarkson Ave, 1st SS W/O E 93rd St, 12""",1005520,179355
27450,"SS - IFO 1915 E/S Ocean Ave, 2nd SS N/O Ave O, 20""",996950,163407
27550,"SS - N/S Farragut Rd, BTW E 81st & E 82nd Sts, 12""",1007600,172230
27600,"SS - E/S Palmetto St, BTW Bushwick & Evergreen Aves, IFO 80 Palmetto St, 60""",1006714,191168
27650,"SS - IFO 59 E/S Patchen Ave, 1st SS S/O Lexington Ave, 20""",1004372,190749
27750,"SS - IFO 165 N/S S 1st St, 2nd SS W/O Driggs Ave, 20""",995052,199303
27850,"SS - IFO 136 S/S Kent St, 2nd SS E/O Franklin St, 20""",996572,205514
28050,"SS - IFO 579 N/S Macon St, 2nd SS W/O Patchen Ave, 20""",1004177,188340
28450,"SS - IFO 2323 NE/S 60th St, 2nd SS W/O McDonald Ave, IFO 2323 60th St, 16""",991065,163335
28550,"SS - E/S W 5th St, 2nd SS S/O Neptune Ave, IFO 2925 W 5th St, 12""",991951,149887
28950,"SS - W/S 14th Ave, 1st SS N/O 52nd St, 20""",986578,169591
29050,"SS - N/S 81st St, 1st SS E/O 19th Ave, 12""",985048,161009
29300,"SS - E/S 5th Ave, BTW 24th & 25th Sts, 66""",985555,179528
29350,"SS - W/S 4th Ave, BTW 28th & 29th Sts, 20""",984246,179280
29450,"SS - IFO 4011 E/S 7th Ave, 1st SS S/O 40th St, 12""",984191,175300
29500,"SS - W/S Ridge Blvd, BTW Bay Ridge Ave & 68th St, 48""",976339,171400
29550,"SS - N/S Bay Ridge Ave, 2nd SS W/O 4th Ave, IFO 335 Bay Ridge Ave 12""",977311,170753
29850,"SS - IFO 1425 E/S Pennsylvania Ave, 2nd SS S/O Schroeders Ave, 20""",1017420,174983
3ISL3,"SS - Wards Island, DEP Water Pollution Control Plant, BTW 1st & 2nd security gates, OPP traffic circle",1005336,225499
3ISL4,"SS - Randalls Island, OPP exit ramp to Qns, next to golf driving range, S/O of Police Launch Repair Shop",1004896,230380
30050,"SS - IFO 8 E/S Centre Market Place, 2nd SS N/O Grand St, 12""",984875,201591
30150,"SS - E/S 1st Ave, 1st SS S/O E 3rd St,  OPP 49 1st Ave, 12""",987725,203176
30250,"SS - OPP 280 N/S Madison St, 2nd SS W/O Montgomery St, 12""",988016,199056
30350,"SS - IFO 90 E/S Pitt St, 2nd SS N/O Rivington St, 12""",989223,201145
30450,"SS - N/S Water St, 2nd SS E/O Catherine Slip, 12""",985554,197941
30550,"SS - E/S Water St, 1st SS S/O Maiden La (IFO Wall St Plaza), 20""",982568,196479
30750,"SS - IFO 269 N/S W 140th St, 2nd SS E/O Frederick Douglass Blvd (8th Ave), 12""",999891,237824
30850,"SS - IFO 230 S/S E 125th St, 2nd SS E/O 3rd Ave, 12""",1002385,231847
30950,"SS - W/S South End Ave, 2nd SS N/O West Thames St, 20""",979476,197553
31050,"SS - IFO 370 W/S Greenwich St, 1st SS N/O Franklin St, 20""",981361,201439
31200,"SS - W/S Amsterdam Ave, BTW W 177th & W 178th Sts, IFO 2374 Amsterdam Ave, 48""",1002902,247504
31350,"SS - E/S Bedford St, 1st SS S/O Grove St, IFO 90 Bedford St, 12""",982777,206084
31450,"SS - IFO 22 N/S Howard St, BTW Crosby & Lafayette Sts, 12""",984155,201407
31550,"SS - OPP 329 S/S W 18th St, 2nd SS E/O 9th Ave, 12""",983716,209861
31650,"SS - N/S E 77th St, 2nd SS W/O 3rd Ave, 12""",995588,221044
31750,"SS - IFO 427 N/S W 26th St, 2nd SS W/O 9th Ave, 12""",983942,212144
31850,"SS - IFO 82 S/S Warren St, 2nd SS E/O Greenwich St, 12""",981300,199881
31950,"SS - IFO 313 N/S W 47th St, 2nd SS W/O 8th Ave, 12""",987340,216552
